id,type,value,description,nickname,equipmentType,parentId,isActive,sortOrder,createdAt,updatedAt
0,centrale,ANNET,ANNET,ANNE,,,true,1,,
1,centrale,ANNET,ANNET,ANNE,,,true,1,,
2,centrale,BORGO,BORGO,BORG,,,true,2,,
3,centrale,BOUSQUET,BOUSQUET,BOUS,,,true,3,,
4,centrale,BROUSSAN,BROUSSAN,BROS,,,true,4,,
5,centrale,CHÂTEAU,CHÂTEAU,CHAT,,,true,5,,
6,centrale,CURBAN,CURBAN,CURB,,,true,6,,
7,centrale,LAUDUN,LAUDUN,LAUD,,,true,7,,
8,centrale,LHERM,LHERM,LHER,,,true,8,,
9,centrale,MGAL,MGAL,MGAL,,,true,9,,
10,centrale,MIDI,MIDI,MIDI,,,true,10,,
11,centrale,OMEGA,OMEGA,OME1,,,true,11,,
12,centrale,PLATEAU,PLATEAU,PLAT,,,true,12,,
13,centrale,SAINT CHARLES,SAINT CHARLES,SCHL,,,true,13,,
14,centrale,SCHL_BATA,SCHL_BATA,SCHL_BATA,,,true,14,,
15,centrale,SCHL_BATB,SCHL_BATB,SCHL_BATB,,,true,15,,
16,centrale,SCHL_BATCM,SCHL_BATCM,SCHL_BATCM,,,true,16,,
17,centrale,SCHL_BATD,SCHL_BATD,SCHL_BATD,,,true,17,,
18,centrale,SCHL_BATE,SCHL_BATE,SCHL_BATE,,,true,18,,
19,centrale,SCHL_BATF,SCHL_BATF,SCHL_BATF,,,true,19,,
20,centrale,SCHL_BATH,SCHL_BATH,SCHL_BATH,,,true,20,,
21,centrale,SCHL_BATK,SCHL_BATK,SCHL_BATK,,,true,21,,
22,centrale,SCHL_BATPQ,SCHL_BATPQ,SCHL_BATPQ,,,true,22,,
23,centrale,STMA,STMA,MGAL,,,true,23,,
24,centrale,VERRERIE,VERRERIE,VERR,,,true,24,,
25,centrale,CROI 1,CROI 1,CROI 1,,,true,25,,
26,centrale,CROI 2,CROI 2,ROI2,,,true,26,,
27,centrale,FOMA,FOMA,FOMA,,,true,27,,
28,centrale,FOM2,FOM2,FOM2,,,true,28,,
29,centrale,GAT1_1,GAT1_1,GAT1_1,,,true,29,,
30,centrale,GAT1_2,GAT1_2,GAT1_2,,,true,30,,
31,centrale,GAT2_1,GAT2_1,GAT2_1,,,true,31,,
32,centrale,GAT2_2,GAT2_2,GAT2_2,,,true,32,,
33,centrale,LHAM,LHAM,LHAM,,,true,33,,
34,centrale,ROY2,ROY2,ROY2,,,true,34,,
35,centrale,RULL,RULL,RULL,,,true,35,,
36,centrale,SAGE N,SAGE N,SAGE_N,,,true,36,,
37,centrale,SAGE S,SAGE S,SAGE_S,,,true,37,,
38,centrale,SEWA N,SEWA N,SEWA_N,,,true,38,,
39,centrale,SEWA S,SEWA S,SEWA_S,,,true,39,,
40,centrale,VIGN,VIGN,VIGN,,,true,40,,
41,centrale,YVIG,YVIG,YVIG,,,true,41,,
42,centrale,FOCO,FOCO,FOCO,,,true,42,,
43,centrale,OUAC,OUAC,OUAC,,,true,43,,
44,centrale,KWITA,KWITA,KWIT,,,true,44,,
45,centrale,MADI,MADI,MADI,,,true,45,,
46,centrale,ALL,ALL,ALL,,,true,46,,
47,centrale,OMEGA1B,OMEGA1B,ME1B,,,true,47,,
48,centrale,TARABISE,TARABISE,TARA,,,true,48,,
49,centrale,BELLEGARDE,BELLEGARDE,,,,true,49,,
50,centrale,SAGE,SAGE,SAGE,,,true,50,,
51,centrale,SEWA,SEWA,SEWA,,,true,51,,
52,centrale,CINTEGABELLE,CINTEGABELLE,CINT,,,true,52,,
53,centrale,GAT1,GAT1,GAT1,,,true,53,,
54,centrale,GAT2,GAT2,GAT2,,,true,54,,
55,centrale,Agrimarguerite,Agrimarguerite,AGMA,,,true,55,,
56,centrale,GOUTS,GOUTS,GOUT,,,true,56,,
57,centrale,Croix Benjamin,Croix Benjamin,,,,true,57,,
58,equipement, PARC,,,PARC,12,true,1,,
59,equipement,PT5,,,PTR,12,true,2,,
60,equipement,PT6,,,PTR,12,true,3,,
61,equipement,PT7,,,PTR,12,true,4,,
62,equipement,PT8,,,PTR,12,true,5,,
63,equipement,PT1,,,PTR,12,true,6,,
64,equipement,PT4,,,PTR,12,true,7,,
65,equipement,PT3,,,PTR,12,true,8,,
66,equipement,PT2,,,PTR,12,true,9,,
67,equipement,Inverter 10,,,ONDULEUR,12,true,10,,
68,equipement,Inverter 11,,,ONDULEUR,12,true,11,,
69,equipement,Inverter 12,,,ONDULEUR,12,true,12,,
70,equipement,Inverter 13,,,ONDULEUR,12,true,13,,
71,equipement,Inverter 14,,,ONDULEUR,12,true,14,,
72,equipement,Inverter 15,,,ONDULEUR,12,true,15,,
73,equipement,Inverter 16,,,ONDULEUR,12,true,16,,
74,equipement,Inverter 05,,,ONDULEUR,12,true,17,,
75,equipement,Inverter 07,,,ONDULEUR,12,true,18,,
76,equipement,Inverter 08,,,ONDULEUR,12,true,19,,
77,equipement,Inverter 09,,,ONDULEUR,12,true,20,,
78,equipement,Inverter 01,,,ONDULEUR,12,true,21,,
79,equipement,Inverter 02,,,ONDULEUR,12,true,22,,
80,equipement,Inverter 03,,,ONDULEUR,12,true,23,,
81,equipement,Inverter 04,,,ONDULEUR,12,true,24,,
82,equipement,Inverter 06,,,ONDULEUR,12,true,25,,
83,equipement,Poste D-O2-M1,,,ONDULEUR,5,true,26,,
84,equipement,Poste D-O2-M2,,,ONDULEUR,5,true,27,,
85,equipement,Poste D-O2-M3,,,ONDULEUR,5,true,28,,
86,equipement,Poste D-O2-M4,,,ONDULEUR,5,true,29,,
87,equipement,Poste D-O2-M5,,,ONDULEUR,5,true,30,,
88,equipement,Poste D-O2-M6,,,ONDULEUR,5,true,31,,
89,equipement,Poste D-O3-M1,,,ONDULEUR,5,true,32,,
90,equipement,Poste D-O3-M2,,,ONDULEUR,5,true,33,,
91,equipement,Poste D-O3-M3,,,ONDULEUR,5,true,34,,
92,equipement,Poste D-O3-M4,,,ONDULEUR,5,true,35,,
93,equipement,Poste D-O3-M5,,,ONDULEUR,5,true,36,,
94,equipement,Poste D-O3-M6,,,ONDULEUR,5,true,37,,
95,equipement, PARC,,,PARC,9,true,38,,
96,equipement,PT 1,,,PTR,9,true,39,,
97,equipement,PT 2,,,PTR,9,true,40,,
98,equipement,OND B2 - INV 138,,,ONDULEUR,9,true,41,,
99,equipement,OND B1 - INV 139,,,ONDULEUR,9,true,42,,
100,equipement,OND C- INV 041,,,ONDULEUR,9,true,43,,
101,equipement,OND A- INV 042,,,ONDULEUR,9,true,44,,
102,equipement,BJ,,,BJ,9,true,45,,
103,equipement,BJ,,,BJ,22,true,46,,
104,equipement,BJ,,,BJ,1,true,47,,
105,equipement,Poste A-O3-M3,,,ONDULEUR,4,true,48,,
106,equipement,Poste A-O3-M4,,,ONDULEUR,4,true,49,,
107,equipement,Poste A-O3-M5,,,ONDULEUR,4,true,50,,
108,equipement,Poste A-O3-M6,,,ONDULEUR,4,true,51,,
109,equipement,Poste B-O1-M1,,,ONDULEUR,4,true,52,,
110,equipement,Poste B-O1-M2,,,ONDULEUR,4,true,53,,
111,equipement,Poste B-O1-M3,,,ONDULEUR,4,true,54,,
112,equipement,Poste B-O1-M4,,,ONDULEUR,4,true,55,,
113,equipement,Poste B-O1-M5,,,ONDULEUR,4,true,56,,
114,equipement,Poste B-O1-M6,,,ONDULEUR,4,true,57,,
115,equipement,Poste B-O2-M1,,,ONDULEUR,4,true,58,,
116,equipement,Poste B-O2-M2,,,ONDULEUR,4,true,59,,
117,equipement,Poste B-O2-M3,,,ONDULEUR,4,true,60,,
118,equipement,Poste B-O2-M4,,,ONDULEUR,4,true,61,,
119,equipement,Poste B-O2-M5,,,ONDULEUR,4,true,62,,
120,equipement,Poste B-O2-M6,,,ONDULEUR,4,true,63,,
121,equipement,Poste B-O3-M1,,,ONDULEUR,4,true,64,,
122,equipement,Poste B-O3-M2,,,ONDULEUR,4,true,65,,
123,equipement,Poste B-O3-M3,,,ONDULEUR,4,true,66,,
124,equipement,Poste B-O3-M4,,,ONDULEUR,4,true,67,,
125,equipement,Poste B-O3-M5,,,ONDULEUR,4,true,68,,
126,equipement,Poste B-O3-M6,,,ONDULEUR,4,true,69,,
127,equipement,Inverter B1N,,,ONDULEUR,15,true,70,,
128,equipement,Inverter B1S,,,ONDULEUR,15,true,71,,
129,equipement,Inverter B2N,,,ONDULEUR,15,true,72,,
130,equipement,Inverter B2S,,,ONDULEUR,15,true,73,,
131,equipement,BJ,,,BJ,15,true,74,,
132,equipement, PARC,,,PARC,7,true,75,,
133,equipement,PDL,,,PDL,7,true,76,,
134,equipement,PT1,,,PTR,7,true,77,,
135,equipement,INVERTER 627,,,ONDULEUR,7,true,78,,
136,equipement, PARC,,,PARC,23,true,79,,
137,equipement,PT 1,,,PTR,23,true,80,,
138,equipement,PT 2,,,PTR,23,true,81,,
139,equipement,T1O1 - INV 75,,,ONDULEUR,23,true,82,,
140,equipement,T1O2 - INV 79,,,ONDULEUR,23,true,83,,
141,equipement,T2O1- INV 74,,,ONDULEUR,23,true,84,,
142,equipement,T2O2 - INV 78,,,ONDULEUR,23,true,85,,
143,equipement,BJ,,,BJ,23,true,86,,
144,equipement,INVERTER 504,,,ONDULEUR,7,true,87,,
145,equipement,INVERTER 544,,,ONDULEUR,7,true,88,,
146,equipement,INVERTER 510,,,ONDULEUR,7,true,89,,
147,equipement,BJ,,,BJ,7,true,90,,
148,equipement,Inverter HN,,,ONDULEUR,20,true,91,,
149,equipement,Inverter HS,,,ONDULEUR,20,true,92,,
150,equipement, PARC,,,PARC,13,true,93,,
151,equipement, PARC,,,PARC,3,true,94,,
152,equipement,PT1,,,PTR,3,true,95,,
153,equipement,PT2,,,PTR,3,true,96,,
154,equipement,PT3,,,PTR,3,true,97,,
155,equipement,PT4,,,PTR,3,true,98,,
156,equipement,INVERTER 1,,,ONDULEUR,3,true,99,,
157,equipement,INVERTER 2,,,ONDULEUR,3,true,100,,
158,equipement,INVERTER 3,,,ONDULEUR,3,true,101,,
159,equipement,INVERTER 4,,,ONDULEUR,3,true,102,,
160,equipement,BJ,,,BJ,17,true,103,,
161,equipement,PDL,,,PDL,20,true,104,,
162,equipement,Inverter AS1,,,ONDULEUR,14,true,105,,
163,equipement,Inverter AN1,,,ONDULEUR,14,true,106,,
164,equipement, PARC,,,PARC,4,true,107,,
165,equipement,TS1,,,PTR,4,true,108,,
166,equipement,TS2,,,PTR,4,true,109,,
167,equipement,Poste A-O1-M1,,,ONDULEUR,4,true,110,,
168,equipement,Poste A-O1-M2,,,ONDULEUR,4,true,111,,
169,equipement,Poste A-O1-M3,,,ONDULEUR,4,true,112,,
170,equipement,Poste A-O1-M4,,,ONDULEUR,4,true,113,,
171,equipement,Poste A-O1-M5,,,ONDULEUR,4,true,114,,
172,equipement,Poste A-O1-M6,,,ONDULEUR,4,true,115,,
173,equipement,Poste A-O2-M1,,,ONDULEUR,4,true,116,,
174,equipement,Poste A-O2-M2,,,ONDULEUR,4,true,117,,
175,equipement,Poste A-O2-M3,,,ONDULEUR,4,true,118,,
176,equipement,Poste A-O2-M4,,,ONDULEUR,4,true,119,,
177,equipement,Poste A-O2-M5,,,ONDULEUR,4,true,120,,
178,equipement,Poste A-O2-M6,,,ONDULEUR,4,true,121,,
179,equipement,Poste A-O3-M1,,,ONDULEUR,4,true,122,,
180,equipement,Poste A-O3-M2,,,ONDULEUR,4,true,123,,
181,equipement, PARC,,,PARC,11,true,124,,
182,equipement,PT1,,,PTR,11,true,125,,
183,equipement,PT2,,,PTR,11,true,126,,
184,equipement,PT3,,,PTR,11,true,127,,
185,equipement,PT4,,,PTR,11,true,128,,
186,equipement,INVERTER 1,,,ONDULEUR,11,true,129,,
187,equipement,INVERTER 2,,,ONDULEUR,11,true,130,,
188,equipement,INVERTER 3,,,ONDULEUR,11,true,131,,
189,equipement,INVERTER 4,,,ONDULEUR,11,true,132,,
190,equipement,INVERTER 5,,,ONDULEUR,11,true,133,,
191,equipement,INVERTER 6,,,ONDULEUR,11,true,134,,
192,equipement,INVERTER 7,,,ONDULEUR,11,true,135,,
193,equipement,Inverter EN,,,ONDULEUR,18,true,136,,
194,equipement,Inverter ES,,,ONDULEUR,18,true,137,,
195,equipement, PARC,,,PARC,2,true,138,,
196,equipement,PT A,,,PTR,2,true,139,,
197,equipement,PT B,,,PTR,2,true,140,,
198,equipement,INVERTER 129,,,ONDULEUR,2,true,141,,
199,equipement,INVERTER 130,,,ONDULEUR,2,true,142,,
200,equipement,INVERTER 257,,,ONDULEUR,2,true,143,,
201,equipement,INVERTER 256,,,ONDULEUR,2,true,144,,
202,equipement,Inverter KN,,,ONDULEUR,21,true,145,,
203,equipement,Inverter KS,,,ONDULEUR,21,true,146,,
204,equipement,Inverter CN1,,,ONDULEUR,16,true,147,,
205,equipement,Inverter CS1,,,ONDULEUR,16,true,148,,
206,equipement,Inverter MN1,,,ONDULEUR,16,true,149,,
207,equipement,Inverter MS1,,,ONDULEUR,16,true,150,,
208,equipement, PARC,,,PARC,5,true,151,,
209,equipement,TS1,,,PTR,5,true,152,,
210,equipement,TS2,,,PTR,5,true,153,,
211,equipement,TS3,,,PTR,5,true,154,,
212,equipement,TS4,,,PTR,5,true,155,,
213,equipement,TS1 - O1,,,PTR,5,true,156,,
214,equipement,TS1 - O2,,,PTR,5,true,157,,
215,equipement,TS1 - O3,,,PTR,5,true,158,,
216,equipement,TS2 - O1,,,PTR,5,true,159,,
217,equipement,TS2 - O2,,,PTR,5,true,160,,
218,equipement,TS2 - O3,,,PTR,5,true,161,,
219,equipement,TS3 - O1,,,PTR,5,true,162,,
220,equipement,TS3 - O2,,,PTR,5,true,163,,
221,equipement,TS3 - O3,,,PTR,5,true,164,,
222,equipement,TS4 - O1,,,PTR,5,true,165,,
223,equipement,TS4 - O2,,,PTR,5,true,166,,
224,equipement,TS4 - O3,,,PTR,5,true,167,,
225,equipement,Poste A-O1-M1,,,ONDULEUR,5,true,168,,
226,equipement,Poste A-O1-M2,,,ONDULEUR,5,true,169,,
227,equipement,Poste A-O1-M3,,,ONDULEUR,5,true,170,,
228,equipement,Poste A-O1-M4,,,ONDULEUR,5,true,171,,
229,equipement,Poste A-O1-M5,,,ONDULEUR,5,true,172,,
230,equipement,Poste A-O1-M6,,,ONDULEUR,5,true,173,,
231,equipement,Poste A-O2-M1,,,ONDULEUR,5,true,174,,
232,equipement,Poste A-O2-M2,,,ONDULEUR,5,true,175,,
233,equipement,Poste A-O2-M3,,,ONDULEUR,5,true,176,,
234,equipement,Poste A-O2-M4,,,ONDULEUR,5,true,177,,
235,equipement,Poste A-O2-M5,,,ONDULEUR,5,true,178,,
236,equipement,Poste A-O2-M6,,,ONDULEUR,5,true,179,,
237,equipement,Poste A-O3-M1,,,ONDULEUR,5,true,180,,
238,equipement,Poste A-O3-M2,,,ONDULEUR,5,true,181,,
239,equipement,Poste A-O3-M3,,,ONDULEUR,5,true,182,,
240,equipement,Poste A-O3-M4,,,ONDULEUR,5,true,183,,
241,equipement,Poste A-O3-M5,,,ONDULEUR,5,true,184,,
242,equipement,Poste A-O3-M6,,,ONDULEUR,5,true,185,,
243,equipement,Poste B-O1-M1,,,ONDULEUR,5,true,186,,
244,equipement,Poste B-O1-M2,,,ONDULEUR,5,true,187,,
245,equipement,Poste B-O1-M3,,,ONDULEUR,5,true,188,,
246,equipement,Poste B-O1-M4,,,ONDULEUR,5,true,189,,
247,equipement,Poste B-O1-M5,,,ONDULEUR,5,true,190,,
248,equipement,Poste B-O1-M6,,,ONDULEUR,5,true,191,,
249,equipement,Poste B-O2-M1,,,ONDULEUR,5,true,192,,
250,equipement,Poste B-O2-M2,,,ONDULEUR,5,true,193,,
251,equipement,Poste B-O2-M3,,,ONDULEUR,5,true,194,,
252,equipement,Poste B-O2-M4,,,ONDULEUR,5,true,195,,
253,equipement,Poste B-O2-M5,,,ONDULEUR,5,true,196,,
254,equipement,Poste B-O2-M6,,,ONDULEUR,5,true,197,,
255,equipement,Poste B-O3-M1,,,ONDULEUR,5,true,198,,
256,equipement,Poste B-O3-M2,,,ONDULEUR,5,true,199,,
257,equipement,Poste B-O3-M3,,,ONDULEUR,5,true,200,,
258,equipement,Poste B-O3-M4,,,ONDULEUR,5,true,201,,
259,equipement,Poste B-O3-M5,,,ONDULEUR,5,true,202,,
260,equipement,Poste B-O3-M6,,,ONDULEUR,5,true,203,,
261,equipement,Poste C-O1-M1,,,ONDULEUR,5,true,204,,
262,equipement,Poste C-O1-M2,,,ONDULEUR,5,true,205,,
263,equipement,Poste C-O1-M3,,,ONDULEUR,5,true,206,,
264,equipement,Poste C-O1-M4,,,ONDULEUR,5,true,207,,
265,equipement,Poste C-O1-M5,,,ONDULEUR,5,true,208,,
266,equipement,Poste C-O1-M6,,,ONDULEUR,5,true,209,,
267,equipement,Poste C-O2-M1,,,ONDULEUR,5,true,210,,
268,equipement,Poste C-O2-M2,,,ONDULEUR,5,true,211,,
269,equipement,Poste C-O2-M3,,,ONDULEUR,5,true,212,,
270,equipement,Poste C-O2-M4,,,ONDULEUR,5,true,213,,
271,equipement,Poste C-O2-M5,,,ONDULEUR,5,true,214,,
272,equipement,Poste C-O2-M6,,,ONDULEUR,5,true,215,,
273,equipement,Poste C-O3-M1,,,ONDULEUR,5,true,216,,
274,equipement,Poste C-O3-M2,,,ONDULEUR,5,true,217,,
275,equipement,Poste C-O3-M3,,,ONDULEUR,5,true,218,,
276,equipement,Poste C-O3-M4,,,ONDULEUR,5,true,219,,
277,equipement,Poste C-O3-M5,,,ONDULEUR,5,true,220,,
278,equipement,Poste C-O3-M6,,,ONDULEUR,5,true,221,,
279,equipement,Poste D-O1-M1,,,ONDULEUR,5,true,222,,
280,equipement,Poste D-O1-M2,,,ONDULEUR,5,true,223,,
281,equipement,Poste D-O1-M3,,,ONDULEUR,5,true,224,,
282,equipement,Poste D-O1-M4,,,ONDULEUR,5,true,225,,
283,equipement,Poste D-O1-M5,,,ONDULEUR,5,true,226,,
284,equipement,Poste D-O1-M6,,,ONDULEUR,5,true,227,,
285,equipement,Inverter F,,,ONDULEUR,19,true,228,,
286,equipement,BJ,,,BJ,19,true,229,,
287,equipement, PARC,,,PARC,8,true,230,,
288,equipement,PT1,,,PTR,8,true,231,,
289,equipement,PT2,,,PTR,8,true,232,,
290,equipement,PT3,,,PTR,8,true,233,,
291,equipement,PT4,,,PTR,8,true,234,,
292,equipement,INVERTER 1.1,,,ONDULEUR,8,true,235,,
293,equipement,INVERTER 1.2,,,ONDULEUR,8,true,236,,
294,equipement,INVERTER 2.1,,,ONDULEUR,8,true,237,,
295,equipement,INVERTER 2.2,,,ONDULEUR,8,true,238,,
296,equipement,INVERTER 3.1,,,ONDULEUR,8,true,239,,
297,equipement,INVERTER 3.2,,,ONDULEUR,8,true,240,,
298,equipement,INVERTER 4.1,,,ONDULEUR,8,true,241,,
299,equipement,INVERTER 4.2,,,ONDULEUR,8,true,242,,
300,equipement,BJ,,,BJ,11,true,243,,
301,equipement,Inverter PQN,,,ONDULEUR,22,true,244,,
302,equipement,Inverter PQS,,,ONDULEUR,22,true,245,,
303,equipement,BJ,,,BJ,12,true,246,,
304,equipement,BJ,,,BJ,3,true,247,,
305,equipement,PDL,,,PDL,3,true,248,,
306,equipement,BJ,,,BJ,8,true,249,,
307,equipement, PARC,,,PARC,1,true,250,,
308,equipement, ANNET 1,,,PARC,1,true,251,,
309,equipement, ANNET 2,,,PARC,1,true,252,,
310,equipement,ONDULEUR 1,,,ONDULEUR,1,true,253,,
311,equipement,ONDULEUR 2,,,ONDULEUR,1,true,254,,
312,equipement,ONDULEUR 3,,,ONDULEUR,1,true,255,,
313,equipement,ONDULEUR 4,,,ONDULEUR,1,true,256,,
314,equipement,ONDULEUR 5,,,ONDULEUR,1,true,257,,
315,equipement,ONDULEUR 6,,,ONDULEUR,1,true,258,,
316,equipement,PDL A,,,PDL,2,true,259,,
317,equipement, PDL B,,,PDL,2,true,260,,
318,equipement, PDL ANNET 1,,,PDL,1,true,261,,
319,equipement, PARC,,,PARC,8,true,262,,
320,equipement, P1.01,,,ONDULEUR,11,true,263,,
321,equipement, P1.02,,,ONDULEUR,11,true,264,,
322,equipement, PARC,,,PARC,5,true,265,,
323,equipement, PDL ANNET 2,,,PDL,1,true,266,,
324,equipement, BJ,,,BJ,2,true,267,,
325,equipement,OND D2S050,,,ONDULEUR,17,true,268,,
326,equipement,PDL,,,PDL,16,true,269,,
327,equipement, PARC,,,PARC,6,true,270,,
328,equipement,PT10,,,PTR,10,true,271,,
329,equipement,OND D1N492,,,ONDULEUR,17,true,272,,
330,type_dysfonctionnement,Découplage,,,,,true,1,,
331,type_dysfonctionnement,Automate,,,,,true,2,,
332,type_dysfonctionnement,Disjonction,,,,,true,3,,
333,type_dysfonctionnement,Pitch,,,,,true,4,,
334,type_dysfonctionnement,Yaw,,,,,true,5,,
335,type_dysfonctionnement,Multi huile,,,,,true,6,,
336,type_dysfonctionnement,HS,,,,,true,7,,
337,type_dysfonctionnement,Dévrillage de câble automatique,,,,,true,8,,
338,type_dysfonctionnement,Défaut isolement ,,,,,true,9,,
339,type_dysfonctionnement,UPS,,,,,true,10,,
340,type_dysfonctionnement,Aucun,,,,,true,11,,
341,type_dysfonctionnement,Pression huile,,,,,true,12,,
342,type_dysfonctionnement,COM,,,,,true,13,,
343,type_dysfonctionnement,Défaut convertisseur ,,,,,true,14,,
344,type_dysfonctionnement,Colonne ,,,,,true,15,,
345,type_dysfonctionnement,Onduleur,,,,,true,16,,
346,type_dysfonctionnement,pales,,,,,true,17,,
347,type_dysfonctionnement,BMS1,,,,,true,18,,
348,type_dysfonctionnement,échauffement ,,,,,true,19,,
349,type_dysfonctionnement,Pression hydraulique,,,,,true,20,,
350,type_dysfonctionnement,Centrale hydraulique,,,,,true,21,,
351,type_dysfonctionnement,Drivetrain,,,,,true,22,,
352,type_dysfonctionnement,Auto exclusion ,,,,,true,23,,
353,type_dysfonctionnement,String,,,,,true,24,,
354,type_dysfonctionnement,Fuite huile,,,,,true,25,,
355,type_dysfonctionnement,Niveau huile,,,,,true,26,,
356,type_dysfonctionnement,Lift,,,,,true,27,,
357,type_dysfonctionnement,Pont de puissance ,,,,,true,28,,
358,type_dysfonctionnement,Température,,,,,true,29,,
359,type_dysfonctionnement,Défaut Génératrice,,,,,true,30,,
360,type_dysfonctionnement,Capteur,,,,,true,31,,
361,type_dysfonctionnement,GFDI,,,,,true,32,,
362,type_dysfonctionnement,NCU,,,,,true,33,,
363,type_dysfonctionnement,SCADA,,,,,true,34,,
364,type_dysfonctionnement,Gearbox,,,,,true,35,,
365,type_dysfonctionnement,Cellule HT,,,,,true,36,,
366,type_dysfonctionnement,Réseau EDF,,,,,true,37,,
367,type_dysfonctionnement,Batterie,,,,,true,38,,
368,type_dysfonctionnement,HVAC1,,,,,true,39,,
369,type_dysfonctionnement,BMS2,,,,,true,40,,
370,type_dysfonctionnement,Maintenance ENERCAL,,,,,true,41,,
371,type_dysfonctionnement,DGPT2,,,,,true,42,,
372,type_evenement,Curatif / Dépannage,,,,,true,1,,
373,type_evenement,Preventive,,,,,true,2,,
374,type_evenement,Visite,,,,,true,3,,
375,type_evenement,Inspection,,,,,true,4,,
376,type_evenement,Accompagnement,,,,,true,5,,
377,type_evenement,Formation,,,,,true,6,,
378,type_evenement,Bridage,,,,,true,7,,
379,type_evenement,Arrêt,,,,,true,8,,
380,type_evenement,Maintenance,,,,,true,9,,
381,type_evenement,Pas de com,,,,,true,10,,
382,type_evenement,Alarme,,,,,true,11,,
383,type_evenement,Installation,,,,,true,12,,
384,type_evenement,SCADA,,,,,true,13,,
385,type_evenement,Réception,,,,,true,14,,
386,type_evenement,Incendie,,,,,true,15,,
387,type_evenement,Tests,,,,,true,16,,
388,type_evenement,Entretien,,,,,true,17,,
389,type_evenement,Réparation,,,,,true,18,,
390,type_evenement,VIC,,,,,true,19,,
391,type_evenement,Essais,,,,,true,20,,
392,type_evenement,Dysfonctionnement,,,,,true,21,,
393,type_evenement,Tarifs négatifs,,,,,true,22,,
